"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"0","1","13295226","Rebecca","9055090","30/12/2015","52.53019493275996","13.396361713607671","1","Cozy and central room in nice apt.","Brunnenstr. Süd","Mitte","2","35","0.05","Private room"
"0","1","47246194","Marius","9056365","28/05/2017","52.49873576226156","13.44016591190915","2","Great location and a beautiful room","südliche Luisenstadt","Friedrichshain-Kreuzberg","4","31","0.11","Private room"
"0","1","47255295","Liam","9058421","","52.48332537232326","13.424474805277889","14","Wohnung fur 1 Per. am Hermannplatz","Schillerpromenade","Neukölln","0","25","","Entire home/apt"
"0","1","10638858","Kaio","9060983","01/09/2017","52.49750164327704","13.430268925238206","3","Cozy Room in Kreuzberg - Görli","südliche Luisenstadt","Friedrichshain-Kreuzberg","21","40","0.58","Private room"
"0","1","47270947","Florian","9062199","","52.49750855134721","13.511721882552983","1","Cosy Room in Lichtenberg-Tierpark","Friedrichsfelde Süd","Lichtenberg","0","20","","Private room"
"0","1","479060","Derrick","9062627","25/03/2018","52.489811156988765","13.423787338639668","14","Quiet old charm apartment","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","8","33","0.22","Entire home/apt"
"11","1","17709810","Kathrin","9062672","07/11/2018","52.524981739324275","13.417144346682727","10","Direct in the heart of Berlin","Alexanderplatz","Mitte","36","35","1.03","Entire home/apt"
"0","2","8781148","Nils","9063238","26/04/2016","52.492726492202294","13.426988758065237","2","Typical Berliner apartment","Reuterstraße","Neukölln","6","40","0.17","Entire home/apt"
"7","1","47296218","Stephanie","9067589","12/10/2018","52.5525419112284","13.380874188513726","1","Big apartment in the center","Wedding Zentrum","Mitte","18","55","0.63","Private room"
"0","1","44904710","Joern","9068410","14/07/2016","52.49656544318449","13.35226997168953","5","Comfortable room close to Nollendorfplatz","Schöneberg-Nord","Tempelhof - Schöneberg","1","25","0.04","Private room"
"67","1","46346702","Gina","9070418","17/10/2018","52.50189552102136","13.49354464988779","1","Comfy and quiet but central","Neu Lichtenberg","Lichtenberg","15","35","2.39","Private room"
"44","1","6269085","Gabriel","9083108","08/10/2017","52.54593820030458","13.424086362957679","1","Central-Cosy room//Prenzlauerberg","Prenzlauer Berg Nord","Pankow","33","35","0.9","Private room"
"142","1","47366735","Fabian","9083119","21/10/2018","52.53662055488048","13.433191629989912","2","Stylish apt. in city centre","Prenzlauer Berg Ost","Pankow","55","55","1.59","Private room"
"0","3","47371579","Max","9084313","08/11/2015","52.551678746200366","13.377572645528085","3","Zimmer im belebten Wedding","Wedding Zentrum","Mitte","1","35","0.03","Private room"
"0","1","23328042","Daisy","9085319","04/01/2018","52.553515095123295","13.403841304445669","2","Cozy room with balcony!","Prenzlauer Berg Nordwest","Pankow","22","27","0.63","Private room"
"0","1","33754861","Ellen","9086379","","52.54552126584554","13.446317961945235","3","Christmas in Berlin near citycenter","Prenzlauer Berg Ost","Pankow","0","25","","Private room"
