"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"69","2","86081082","Antonio","15597401","13/10/2018","52.52374687450971","13.399692440290567","3","PARK2 - Studio","Alexanderplatz","Mitte","13","90","0.57","Entire home/apt"
"45","1","990154","Farsan","15600124","01/01/2017","52.592676205347615","13.342745413678333","3","Cosy Flat with fireplace and gym [Shared Flat]","Nord 2","Reinickendorf","1","80","0.04","Private room"
"279","6","64166708","María Del Mar","15611440","28/09/2018","52.5101110500146","13.38985022192362","60","Luxury Apartment Friedrichstrasse","Regierungsviertel","Mitte","7","93","0.29","Entire home/apt"
"125","3","2264025","Wibke","15616319","18/07/2018","52.53232935405657","13.404349612241573","4","Topcentral & legal: 150m², 5 rooms for 5-9 guests","Brunnenstr. Süd","Mitte","2","150","0.19","Entire home/apt"
"335","2","29515318","Amiram","15627299","05/11/2018","52.510922007159024","13.458849366281138","8","beautiful flat near box hagener pla","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","14","105","0.67","Entire home/apt"
"0","2","11937513","Veronica","15644298","","52.53069742565876","13.408074777716365","20","Great Room in a great apartment! Awesome location","Prenzlauer Berg Südwest","Pankow","0","90","","Private room"
"323","1","101007308","Philipp","15651482","27/10/2018","52.55193111197414","13.401555436495126","2","Ferienwohnung in Prenzlauer Berg am Mauerweg","Prenzlauer Berg Nordwest","Pankow","28","80","1.15","Entire home/apt"
"269","1","91320285","Mathis","15657743","04/11/2018","52.50783007206635","13.322575162368526","4","Penthouse @ Savignyplatz, city west, gorgeous view","Kantstraße","Charlottenburg-Wilm.","75","180","3.2","Entire home/apt"
"181","1","101104755","Tanja","15660868","04/11/2018","52.48661223506247","13.352794018325842","3","woanders - stilvoll & gemütliches Stadt-Apartment","Schöneberg-Süd","Tempelhof - Schöneberg","29","120","1.34","Entire home/apt"
"172","1","101181047","Arno&Marcus","15668634","07/11/2018","52.50604673529245","13.417571373730384","2","COSY ROOM IN ROOF TOP LOFT IN THE HEART OF BERLIN","Alexanderplatz","Mitte","29","72","1.23","Private room"
"162","1","19780013","Michael","15671957","20/08/2017","52.48226470260462","13.470613956307856","6","137 m² Flat with Romantic Loggia & Home Cinema","Plänterwald","Treptow - Köpenick","2","98","0.12","Entire home/apt"
"356","2","39574419","Birgit","15695516","","52.36927026933563","13.689864662189509","1","Gemütliche Ferienwohnung SWS-West am Krossinsee","Schmöckwitz/Karolinenhof/Rauchfangswerder","Treptow - Köpenick","0","120","","Entire home/apt"
"0","1","98794666","Hank","15697935","","52.525011767265305","13.431059897193625","1","Secured Cosy flat near by Park in the Tower","Karl-Marx-Allee-Nord","Friedrichshain-Kreuzberg","0","120","","Entire home/apt"
"364","1","36506319","Nadine","15739553","","52.540511726364485","13.412734112531838","60","Loftwohnung im Herzen von Prenzlauer Berg","Prenzlauer Berg Südwest","Pankow","0","77","","Private room"
"0","1","101759642","Basti & Şermin","15745328","22/06/2018","52.499687269986126","13.396961406738264","3","Charmantes Apartment mitten in Kreuzberg","Südliche Friedrichstadt","Friedrichshain-Kreuzberg","1","120","0.22","Entire home/apt"
"251","1","98217009","Gracie","15751823","","52.523894245747606","13.296940401129405","4","Penthouse with panoramic views of castle and park","Schloß Charlottenburg","Charlottenburg-Wilm.","0","150","","Entire home/apt"
"94","1","14429852","Jacky","15754069","07/10/2017","52.48930337930188","13.309291248839028","1","☆ At Kudamm ￫ New Design Apartment Berlin-West ☆","Düsseldorfer Straße","Charlottenburg-Wilm.","30","99","1.24","Entire home/apt"
"31","2","39357802","Nadine","15754848","24/10/2018","52.492446917413304","13.391106756570705","2","Cat-Lovers Paradise | Great Location BLN KREUZBERG","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","3","100","0.22","Entire home/apt"
"0","1","13741595","Nina","15755809","13/11/2016","52.514827769023945","13.303624170853466","3","Oldtown Charlottenburg, by the castle","Otto-Suhr-Allee","Charlottenburg-Wilm.","1","78","0.04","Entire home/apt"
"0","1","42995258","Marina","15777361","","52.464978368553055","13.487730307459932","7","Historic street of Berlin with Harry Potter Flair","Baumschulenweg","Treptow - Köpenick","0","100","","Private room"
"307","1","102047423","J","15778023","25/10/2018","52.52822840342993","13.406468185028631","1","Modernes Mitte-Loft mit Balkon, Dachterrasse, Pool","Alexanderplatz","Mitte","158","95","6.66","Entire home/apt"
"24","1","45387947","Juan","15778858","29/10/2018","52.54099453680289","13.404046342030354","3","Lovely apartment facing the Mauerpark","Prenzlauer Berg Nordwest","Pankow","22","139","2.13","Entire home/apt"
"0","1","59420773","Jana","15780047","","52.55261447645656","13.431299656634339","14","Lichtdurchflutete Dachgeschoss Wohnung","Weißensee","Pankow","0","79","","Entire home/apt"
"353","1","8952034","Agnes (Aka Helen Poe)","15783667","24/10/2018","52.4930816336358","13.426753720508183","3","Best location in Berlin","Reuterstraße","Neukölln","38","85","1.62","Private room"
"294","2","102224389","Maja","15799597","20/10/2018","52.4752761026053","13.369482346258657","2","Bright City Apartment with Garden","Tempelhof","Tempelhof - Schöneberg","71","88","2.91","Entire home/apt"
"0","2","34996791","Max","15799655","17/04/2017","52.49039826058309","13.424038252914123","3","You will love this! Gemütliche Einzimmerwohnung","Reuterstraße","Neukölln","2","75","0.1","Entire home/apt"
"272","2","102224389","Maja","15801211","24/10/2018","52.47363671634375","13.367443211514644","2","Bright City Apartment with Garden and two Bedrooms","Tempelhof","Tempelhof - Schöneberg","81","92","3.32","Entire home/apt"
"311","3","96511249","Eka","15809673","30/09/2018","52.502453535952974","13.305195475948537","1","Sehr zentral ! Ku’damm ,Messe ICC zu Fuß 20min.","Neue Kantstraße","Charlottenburg-Wilm.","21","95","0.93","Entire home/apt"
"285","8","12360","Michael","15810911","02/04/2018","52.53134211968996","13.380299928229466","60","Urban Oasis in Berlin Mitte | With Gym and Spa","Alexanderplatz","Mitte","1","85","0.14","Entire home/apt"
"332","2","101925521","Liam","15815171","01/09/2018","52.5084005165476","13.365034149745679","2","Berlin prime location Apartment with highstandard","Tiergarten Süd","Mitte","32","185","1.35","Entire home/apt"
"106","2","15217798","Francisco","15824441","17/10/2018","52.500579563689364","13.365454923068109","2","Apartment in center Berlin","Tiergarten Süd","Mitte","11","190","1.06","Entire home/apt"
"241","1","7870517","Alisa","15833288","20/09/2018","52.46924582861206","13.433222175048249","1","Big rooftop terrace apartment with winter garden","Neuköllner Mitte/Zentrum","Neukölln","1","100","0.61","Private room"
"90","1","6858176","Claudia","15837592","29/09/2018","52.52268486977038","13.405362737828542","28","Concrete Sky Cabin","Alexanderplatz","Mitte","72","90","3.04","Entire home/apt"
"65","1","40887048","Anja & Maria","15840279","18/10/2018","52.52032458112776","13.40954045399346","2","Private room next to the TV tower!","Alexanderplatz","Mitte","60","75","2.47","Private room"
"0","1","20807012","Florian","15848205","09/07/2018","52.484393810483816","13.428199013214005","2","rise & shine Berlin - homey apartment in Neukölln","Neuköllner Mitte/Zentrum","Neukölln","12","80","0.5","Entire home/apt"
